,model,website,type,fullname,price,status,time_to_market,size,resolution,rear_camera,front_camera,battery_size,battery_type,CPU,memory
1899,ASUS_Z012DE,http://detail.zol.com.cn/cell_phone/index1178792.shtml,手机,华硕ZenFone 4 Pro（全网通）,0,即将上市,,5.5英寸,1920x1080像素,1200万像素+1600万像素,800万像素,3600mAh,暂无数据,八核,6GB
1900,SM-T331C,http://detail.zol.com.cn/cell_phone/index1141271.shtml,手机,三星GALAXY C5（C5000/全网通）,1299,正常,2016年05月,5.2英寸,1920x1080像素,1600万像素,800万像素,2600mAh,不可拆卸式电池,八核,4GB
1901,vivo Y927,http://detail.zol.com.cn/cell_phone/index392353.shtml,手机,vivo Y927（电信4G）,900,正常,,4.7英寸,1280x720像素,800万像素,500万像素,2260mAh,不可拆卸式电池,四核,1GB
1902,vivo Y928,http://detail.zol.com.cn/cell_phone/index394809.shtml,手机,vivo Y928（电信4G）,1099,正常,,4.7英寸,960x540像素,800万像素,500万像素,2100mAh,可拆卸式电池,四核,1GB
1903,ONEPLUS A5010,http://detail.zol.com.cn/cell_phone/index1181334.shtml,手机,一加5T（6GB RAM/全网通）,2199,正常,2017年12月01日,6.01英寸,2160x1080像素,2000万像素+1600万像素,1600万像素,3300mAh,不可拆卸式电池,八核,6GB
1904,X800,http://detail.zol.com.cn/cell_phone/index143769.shtml,手机,飞利浦X800,1380,正常,,2.8英寸,400x240像素,200万像素,暂无数据,1250mAh,暂无数据,暂无数据,暂无数据
1905,V21-X,http://detail.zol.com.cn/cell_phone/index1213909.shtml,手机,ROG 游戏手机（全网通）,5499,正常,,6英寸,2160x1080像素,1200万像素+800万像素,800万像素,4000mAh,不可拆卸式电池,八核,8GB
1906,ZTE A2015,http://detail.zol.com.cn/cell_phone/index403440.shtml,手机,中兴AXON天机（A2015/智汇版/全网通）,679,正常,,5.5英寸,1920x1080像素,1300万像素+200万像素,800万像素,3000mAh,不可拆卸式电池,八核,3GB
1907,M651CY,http://detail.zol.com.cn/cell_phone/index1166334.shtml,手机,苹果iPhone 7（双4G）,3699,正常,2017年01月,4.7英寸,1334x750像素,1200万像素,700万像素,1960mAh,不可拆卸式电池,四核,2GB
1908,NOAIN K1,http://detail.zol.com.cn/cell_phone/index374325.shtml,手机,酷派K1（7620L/联通4G）,850,正常,,5.5英寸,960x540像素,800万像素,200万像素,2500mAh,可拆卸式电池,四核,1GB
1909,Mi Note 2,http://detail.zol.com.cn/cell_phone/index1099553.shtml,手机,小米Note 2（高配版/全网通）,2088,正常,2016年11月1日,5.7英寸,1920x1080像素,2256万像素,800万像素,4070mAh,不可拆卸式电池,6GB,暂无数据
1910,BTV-DL09,http://detail.zol.com.cn/cell_phone/index273715.shtml,手机,苹果iPhone 6（全网通）,5250,正常,2014年09月,4.7英寸,1334x750像素,800万像素,120万像素,1810mAh,不可拆卸式电池,双核,1GB
1911,ZTE A530,http://detail.zol.com.cn/cell_phone/index1209266.shtml,手机,中兴A606（全网通）,458,正常,,5.45英寸,1440x720像素,500万像素,200万像素,暂无数据,暂无数据,2GB,暂无数据
1912,vivo X5V,http://detail.zol.com.cn/cell_phone/index392874.shtml,手机,vivo X5V（电信4G）,1799,正常,2014年12月,5英寸,1280x720像素,1300万像素,500万像素,2250mAh,不可拆卸式电池,八核,2GB
1913,Mi Note 3,http://detail.zol.com.cn/cell_phone/index1203753.shtml,手机,小米Note 3（4GB RAM/全网通）,1488,正常,,5.5英寸,1920x1080像素,双1200万像素,1600万像素,3500mAh,不可拆卸式电池,八核,4GB
1914,redmi 3,http://detail.zol.com.cn/cell_phone/index1142036.shtml,手机,小米红米3（移动4G）,699,停产,,5英寸,1280x720像素,1300万像素,500万像素,4100mAh,不可拆卸式电池,真八核,2GB
1915,boway U16,http://detail.zol.com.cn/cell_phone/index1183207.shtml,手机,邦华U16（双4G）,799,停产,,5英寸,1280x720像素,800万像素,500万像素,4000mAh,不可拆卸式电池,四核,2GB
1916,Readboy_G90S,,,,0,非售,,,,,,,,,
1917,HW-V8,http://detail.zol.com.cn/cell_phone/index1141198.shtml,手机,荣耀V8（KNT-AL20/高配版/全网通）,1635,正常,2016年05月,5.7英寸,2560x1440像素,双1200万像素,800万像素,3500mAh,不可拆卸式电池,八核,4GB
1918,ZTE A2017,http://detail.zol.com.cn/cell_phone/index1145416.shtml,手机,中兴天机7（顶配版/全网通）,1880,正常,2016年05月,5.5英寸,2560x1440像素,2000万像素,800万像素,3250mAh,不可拆卸式电池,四核,6GB
1919,SM-N9002,http://detail.zol.com.cn/cell_phone/index361182.shtml,手机,三星GALAXY Note 3（N9002/联通3G）,2850,正常,2013年08月,5.7英寸,1920x1080像素,1300万像素,200万像素,3200mAh,可拆卸式电池,四核,3GB
1920,PBBT30,http://detail.zol.com.cn/cell_phone/index1163668.shtml,手机,Microsoft GraalPhone（全网通）,0,即将上市,,5英寸,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,8GB,暂无数据
1921,Redmi Note 5A Prime,,,,0,非售,,,,,,,,,
1922,ZTE A2018,http://detail.zol.com.cn/cell_phone/index1170136.shtml,手机,中兴天机7s（全网通）,1798,正常,,5.5英寸,1440x2560像素,2000万像素+1200万像素,800万像素,3400mAh,不可拆卸式电池,四核,4GB
1923,msmnile for arm64,http://detail.zol.com.cn/cell_phone/index398689.shtml,手机,苹果iPhone SE（全网通）,2999,停产,2016年03月,4英寸,1136x640像素,1200万像素,120万像素,1642mAh,不可拆卸式电池,双核,2GB
1924,OPSSON X20,http://detail.zol.com.cn/cell_phone/index1181567.shtml,手机,vivo X20（全网通）,1998,正常,2017年09月30日,6.01英寸,2160x1080像素,主摄2x1200万像素（2400万感光单元）....>>,2x1200万像素（2400万感光单元）,3245mAh,不可拆卸式电池,八核,4GB
1925,F106L,http://detail.zol.com.cn/cell_phone/index1164318.shtml,手机,金立F106（全网通）,599,正常,,5英寸,1280x720像素,800万像素,500万像素,2660mAh,暂无数据,2GB,暂无数据
1926,PLK-CL00,http://detail.zol.com.cn/cell_phone/index402434.shtml,手机,荣耀7（PLK-CL00/电信4G）,890,停产,2015年06月,5.2英寸,1920x1080像素,2000万像素,800万像素,3100mAh,不可拆卸式电池,真八核,3GB
1927,SM-N9005,http://detail.zol.com.cn/cell_phone/index361181.shtml,手机,三星GALAXY Note 3（N9005/国际版/联通3G）,2850,正常,2013年08月,5.7英寸,1920x1080像素,1300万像素,200万像素,3200mAh,暂无数据,四核,3GB
1928,SM-N9006,http://detail.zol.com.cn/cell_phone/index337342.shtml,手机,三星GALAXY Note 3（N9006/联通3G）,2850,正常,2013年08月,5.7英寸,1920x1080像素,1300万像素,200万像素,3200mAh,可拆卸式电池,四核,3GB
1929,VOG-L09,http://detail.zol.com.cn/cell_phone/index379635.shtml,手机,华为Ascend P7（P7-L09/电信4G）,2299,正常,2014年05月,5英寸,1920x1080像素,1300万像素,800万像素,2500mAh,不可拆卸式电池,四核,2GB
1930,SM-N9008,http://detail.zol.com.cn/cell_phone/index362030.shtml,手机,三星GALAXY Note 3（N9008/移动3G）,2850,正常,2013年08月,5.7英寸,1920x1080像素,1300万像素,200万像素,3200mAh,可拆卸式电池,四核,3GB
1931,sm-j700f,http://detail.zol.com.cn/cell_phone/index396034.shtml,手机,三星GALAXY J7（J7008/移动4G）,850,停产,2015年06月,5.5英寸,1920x1080像素,1300万像素,500万像素,3000mAh,可拆卸式电池,八核,1.5GB
1932,S10_RJWN,http://detail.zol.com.cn/cell_phone/index297300.shtml,手机,三星GALAXY Note（I9220）,1566,正常,,5.3英寸,1280x800像素,800万像素,200万像素,2500mAh,可拆卸式电池,双核,1GB
1933,XT1929-15,http://detail.zol.com.cn/cell_phone/index1206652.shtml,手机,Moto Z3（全网通）,3199,正常,,6.01英寸,2160x1080像素,双1200万像素,800万像素,3000mAh,不可拆卸式电池,八核,6GB
1934,HLJ-X1-L,http://detail.zol.com.cn/cell_phone/index404658.shtml,手机,小辣椒红辣椒X1（移动4G）,409,停产,,5英寸,1280x720像素,800万像素,500万像素,2250mAh,不可拆卸式电池,四核,2GB
1935,G620-L75,http://detail.zol.com.cn/cell_phone/index377614.shtml,手机,华为G620（L75/移动4G）,799,正常,,5英寸,960x540像素,500万像素,30万像素,2000mAh,不可拆卸式电池,四核,1GB
1936,HLTE316T,http://detail.zol.com.cn/cell_phone/index297300.shtml,手机,三星GALAXY Note（I9220）,1566,正常,,5.3英寸,1280x800像素,800万像素,200万像素,2500mAh,可拆卸式电池,双核,1GB
1937,HN6205506,http://detail.zol.com.cn/cell_phone/index1260976.shtml,手机,神舟X9plus（全网通）,599,正常,,5.5英寸,1080x720像素,1300万像素,500万像素,2400mAh,不可拆卸式电池,八核,3GB
1938,SM-N9009,http://detail.zol.com.cn/cell_phone/index362031.shtml,手机,三星GALAXY Note 3（N9009/电信3G）,2850,正常,2013年08月,5.7英寸,1920x1080像素,1300万像素,200万像素,3200mAh,可拆卸式电池,四核,3GB
1939,LA-X6,http://detail.zol.com.cn/cell_phone/index1140187.shtml,手机,小辣椒X6 Pro（全网通）,1199,停产,,5.5英寸,1280x720像素,1300万像素,800万像素,2600mAh,暂无数据,四核,3GB
1940,DOOV L5M,http://detail.zol.com.cn/cell_phone/index1103031.shtml,手机,朵唯L5 mini（移动4G）,999,停产,,5.2英寸,1280x720像素,1300万像素,500万像素,2330mAh,不可拆卸式电池,四核,2GB
1941,OTOT Q1,http://detail.zol.com.cn/cell_phone/index1163668.shtml,手机,Microsoft GraalPhone（全网通）,0,即将上市,,5英寸,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,8GB,暂无数据
1942,NEO-AL00,http://detail.zol.com.cn/cell_phone/index1210089.shtml,手机,华为Mate RS保时捷版（全网通）,9999,正常,,6英寸,2880x1440像素,彩色4000万像素+黑白2000万像素+800....>>,2400万像素,4000mAh,不可拆卸式电池,八核,6GB
1943,LA-X7,http://detail.zol.com.cn/cell_phone/index1145877.shtml,手机,vivo X7（全网通）,1799,停产,2016年06月,5.2英寸,1920x1080像素,1300万像素,1600万像素,3000mAh,不可拆卸式电池,八核,4GB
1944,vivo X6A,http://detail.zol.com.cn/cell_phone/index1116576.shtml,手机,vivo X6（全网通）,1799,停产,2015年12月,5.2英寸,1920x1080像素,1300万像素,800万像素,2400mAh,不可拆卸式电池,真八核,4GB
1945,ELE-L29,http://detail.zol.com.cn/cell_phone/index273715.shtml,手机,苹果iPhone 6（全网通）,5250,正常,2014年09月,4.7英寸,1334x750像素,800万像素,120万像素,1810mAh,不可拆卸式电池,双核,1GB
1946,SM-N900,http://detail.zol.com.cn/cell_phone/index337342.shtml,手机,三星GALAXY Note 3（N9006/联通3G）,2850,正常,2013年08月,5.7英寸,1920x1080像素,1300万像素,200万像素,3200mAh,可拆卸式电池,四核,3GB
1947,V1818T,http://detail.zol.com.cn/cell_phone/index381376.shtml,手机,vivo Y18L（移动4G）,1400,停产,,4.7英寸,1280x720像素,800万像素,500万像素,2260mAh,不可拆卸式电池,四核,1GB
1948,PBDM00,http://detail.zol.com.cn/cell_phone/index398690.shtml,手机,苹果iPhone 6S Plus（全网通）,3000,停产,2015年09月,5.5英寸,1920x1080像素,1200万像素,500万像素,2750mAh,不可拆卸式电池,双核,2GB
1949,vivo X6D,http://detail.zol.com.cn/cell_phone/index1116576.shtml,手机,vivo X6（全网通）,1799,停产,2015年12月,5.2英寸,1920x1080像素,1300万像素,800万像素,2400mAh,不可拆卸式电池,真八核,4GB
1950,HUAWEI TAG-CL00,http://detail.zol.com.cn/cell_phone/index1116828.shtml,手机,华为畅享5S（TAG-CL00/电信4G）,650,停产,2015年12月,5英寸,1280x720像素,1300万像素,500万像素,2200mAh,不可拆卸式电池,八核,2GB
1951,gn5001s,http://detail.zol.com.cn/cell_phone/index1116928.shtml,手机,金立金钢（GN5001S/全网通）,900,停产,,5英寸,1280x720像素,800万像素,500万像素,4000mAh,不可拆卸式电池,四核,3GB
1952,generic_a15,http://detail.zol.com.cn/cell_phone/index273715.shtml,手机,苹果iPhone 6（全网通）,5250,正常,2014年09月,4.7英寸,1334x750像素,800万像素,120万像素,1810mAh,不可拆卸式电池,双核,1GB
1953,CHM-TL00H,http://detail.zol.com.cn/cell_phone/index400304.shtml,手机,荣耀畅玩4C（CHM-TL00H/标准版/移动4G）,670,停产,2015年04月,5英寸,1280x720像素,1300万像素,500万像素,2550mAh,不可拆卸式电池,八核,2GB
1954,vivo 1601,http://detail.zol.com.cn/cell_phone/index1251180.shtml,手机,vivo APEX 2019（全网通）,0,即将上市,,6.5英寸,2340x1080像素,4800万像素+1600万像素,2500万像素,4500mAh,,,12GB
1955,SM-N9150,http://detail.zol.com.cn/cell_phone/index387948.shtml,手机,三星GALAXY Note Edge（N9150/双4G）,6299,正常,2014年09月,5.6英寸,2560x1440像素,1600万像素,370万像素,3000mAh,可拆卸式电池,四核,3GB
1956,TCL 302U,http://detail.zol.com.cn/cell_phone/index1116511.shtml,手机,TCL 302U（联通4G）,289,停产,,5英寸,854x480像素,500万像素,暂无数据,1800mAh,可拆卸式电池,四核,1GB
1957,vivo X5Pro D,http://detail.zol.com.cn/cell_phone/index1100459.shtml,手机,vivo X5ProD（3G RAM/双4G）,1199,停产,2015年09月,5.2英寸,1920x1080像素,1300万像素,800万像素,2400mAh,不可拆卸式电池,真八核,3GB
1958,DIG-TL10,http://detail.zol.com.cn/cell_phone/index1179640.shtml,手机,华为畅享6S（DIG-TL10/移动全网通）,669,停产,2016年12月24日,5英寸,1280x720像素,1300万像素,500万像素,3020mAh,不可拆卸式电池,八核,3GB
1959,X21(OX2),http://detail.zol.com.cn/cell_phone/index261882.shtml,手机,诺基亚X2-01,600,正常,,2.4英寸,320x240像素,30万像素,暂无数据,1020mAh,可拆卸式电池,64MB,暂无数据
1960,MI PAD,http://detail.zol.com.cn/cell_phone/index319601.shtml,手机,小米米Phone,0,停产,,4英寸,800x480像素,800万像素,暂无数据,1930mAh,可拆卸式电池,暂无数据,暂无数据
1961,PCAM00,http://detail.zol.com.cn/cell_phone/index1163668.shtml,手机,Microsoft GraalPhone（全网通）,0,即将上市,,5英寸,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,8GB,暂无数据
1962,PAFT00,http://detail.zol.com.cn/cell_phone/index398690.shtml,手机,苹果iPhone 6S Plus（全网通）,3000,停产,2015年09月,5.5英寸,1920x1080像素,1200万像素,500万像素,2750mAh,不可拆卸式电池,双核,2GB
1963,MTS-T0,http://detail.zol.com.cn/cell_phone/index1170832.shtml,手机,酷派锋尚N2M（1GB RAM/MTS-T0/全网通）,268,正常,,5英寸,1280x720像素,500万像素,200万像素,1950mAh,不可拆卸式电池,四核,1GB
1964,vivo X6L,http://detail.zol.com.cn/cell_phone/index1159623.shtml,手机,vivo Xplay6（全网通）,3498,停产,2016年12月12日,5.46英寸,2560x1440像素,1200万像素+500万像素,1600万像素,4080mAh,不可拆卸式电池,四核,6GB
1965,9300-M9,http://detail.zol.com.cn/cell_phone/index398621.shtml,手机,三星GALAXY S7（G9300/全网通）,2378,停产,2016年02月,5.1英寸,2560x1440像素,1200万像素,500万像素,3000mAh,不可拆卸式电池,四核,4GB
1966,HTC D820ts,http://detail.zol.com.cn/cell_phone/index394338.shtml,手机,HTC Desire 820s（D820ts/移动4G）,1499,正常,2014年11月,5.5英寸,1280x720像素,1300万像素,800万像素,2600mAh,不可拆卸式电池,真八核,2GB
1967,vivo x6a,http://detail.zol.com.cn/cell_phone/index1116576.shtml,手机,vivo X6（全网通）,1799,停产,2015年12月,5.2英寸,1920x1080像素,1300万像素,800万像素,2400mAh,不可拆卸式电池,真八核,4GB
1968,EVA-DL00,http://detail.zol.com.cn/cell_phone/index1141879.shtml,手机,华为P9（EVA-DL00/标准版/联通4G）,2200,停产,2016年04月,5.2英寸,1920x1080像素,双1200万像素,800万像素,3000mAh,不可拆卸式电池,八核,3GB
1969,V1730EA,http://detail.zol.com.cn/cell_phone/index1221865.shtml,手机,vivo Z1i（4GB RAM/全网通）,1898,正常,,6.26英寸,2280x1080像素,1300万像素+200万像素,1600万像素,3260mAh,不可拆卸式电池,八核,4GB
1970,KOB-L09,http://detail.zol.com.cn/cell_phone/index379635.shtml,手机,华为Ascend P7（P7-L09/电信4G）,2299,正常,2014年05月,5英寸,1920x1080像素,1300万像素,800万像素,2500mAh,不可拆卸式电池,四核,2GB
1971,vivo X5Pro L,http://detail.zol.com.cn/cell_phone/index405334.shtml,手机,vivo X5Pro L（移动4G）,1400,停产,2015年07月,5.2英寸,1920x1080像素,1300万像素,800万像素,2300mAh,不可拆卸式电池,真八核,2GB
1972,vivo x6d,http://detail.zol.com.cn/cell_phone/index1116576.shtml,手机,vivo X6（全网通）,1799,停产,2015年12月,5.2英寸,1920x1080像素,1300万像素,800万像素,2400mAh,不可拆卸式电池,真八核,4GB
1973,vivo Y937,http://detail.zol.com.cn/cell_phone/index405508.shtml,手机,vivo Y937（电信4G）,900,停产,,5.5英寸,1280x720像素,1300万像素,500万像素,2720mAh,不可拆卸式电池,八核,2GB
1974,Redmi 5 Plus,http://detail.zol.com.cn/cell_phone/index1156137.shtml,手机,小米5S plus（标准版/全网通）,1299,正常,,5.7英寸,1920x1080像素,双1300万像素,400万像素,3800mAh,不可拆卸式电池,四核,4GB
1975,F88,http://detail.zol.com.cn/cell_phone/index33770.shtml,手机,CECT F88,540,停产,,112×120像素,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
1976,OPPO A57t,http://detail.zol.com.cn/cell_phone/index1160598.shtml,手机,OPPO A57（全网通）,799,正常,,5.2英寸,1280x720像素,1300万像素,1600万像素,2900mAh,不可拆卸式电池,八核,3GB
1977,SM-N900L,http://detail.zol.com.cn/cell_phone/index363640.shtml,手机,三星GALAXY Note 3（N900/国际版/联通3G）,2850,正常,2013年08月,5.7英寸,1920x1080像素,1300万像素,200万像素,3200mAh,暂无数据,双四核,3GB
1978,HM NOTE 1LTE,http://detail.zol.com.cn/cell_phone/index374237.shtml,手机,小米红米Note（增强版/移动3G/2GB RAM）,899,正常,2014年05月,5.5英寸,1280x720像素,1300万像素,500万像素,3100mAh,可拆卸式电池,真八核,2GB
1979,A9000,http://detail.zol.com.cn/cell_phone/index397666.shtml,手机,三星2016版GALAXY A9（A9000/全网通）,1488,正常,2015年12月,6英寸,1920x1080像素,1300万像素,800万像素,4000mAh,不可拆卸式电池,八核,3GB
1980,vivo X6S,http://detail.zol.com.cn/cell_phone/index1138278.shtml,手机,vivo X6S（全网通）,1980,停产,,5.2英寸,1920x1080像素,1300万像素,800万像素,2400mAh,不可拆卸式电池,八核,4GB
1981,GIONEE M7,http://detail.zol.com.cn/cell_phone/index159125.shtml,手机,金立M7（全网通）,799,正常,,6.01英寸,2160x1080像素,1600万像素+800万像素,800万像素,4000mAh,不可拆卸式电池,八核,6GB
1982,NX518J,http://detail.zol.com.cn/cell_phone/index1211589.shtml,手机,努比亚红魔电竞游戏手机（6GB RAM/全网通）,2299,正常,,6英寸,2160x1080像素,2400万像素,800万像素,3800mAh,不可拆卸式电池,八核,6GB
1983,Mi A2 Lite,http://detail.zol.com.cn/cell_phone/index1223816.shtml,手机,小米A2 Lite（全网通）,0,概念产品,,暂无数据,暂无数据,1200万像素+500万像素,500万像素,4000mAh,暂无数据,八核,4GB
1984,Readboy_G90,http://detail.zol.com.cn/cell_phone/index368535.shtml,手机,苹果iPhone 6S（全网通）,4690,正常,2015年09月,4.7英寸,1334x750像素,1200万像素,500万像素,1715mAh,不可拆卸式电池,双核,2GB
1985,HUAWEI C8818,http://detail.zol.com.cn/cell_phone/index401695.shtml,手机,华为C8818（电信4G）,588,停产,,5英寸,1280x720像素,1300万像素,500万像素,2550mAh,不可拆卸式电池,真八核,2GB
1986,V1901A,http://detail.zol.com.cn/cell_phone/index368535.shtml,手机,苹果iPhone 6S（全网通）,4690,正常,2015年09月,4.7英寸,1334x750像素,1200万像素,500万像素,1715mAh,不可拆卸式电池,双核,2GB
1987,iPhone 7 Plus,http://detail.zol.com.cn/cell_phone/index1167459.shtml?from=360Pro3,手机,苹果iPhone 7 Plus（特别版/全网通）,3199,正常,2017年3月,5.5英寸,1920x1080像素,双1200万像素,700万像素,2910mAh,不可拆卸式电池,四核,3GB
1988,16th,http://detail.zol.com.cn/cell_phone/index1221465.shtml,手机,魅族16th Plus（6GB RAM/全网通）,2398,正常,,6.5英寸,2160x1080像素,2000万像素+1200万像素,2000万像素,3640mAh,不可拆卸式电池,八核,6GB
1989,ramos MOS1max,http://detail.zol.com.cn/cell_phone/index404819.shtml,手机,蓝魔Mos1 max（双4G）,899,停产,,6.44英寸,1920x1080像素,1300万像素,800万像素,6010mAh,不可拆卸式电池,八核,3GB
1990,U63 PLUS A,http://detail.zol.com.cn/cell_phone/index375437.shtml,手机,苹果iPhone 6 Plus（移动4G）,5470,正常,2014年09月,5.5英寸,1920x1080像素,800万像素,120万像素,2915mAh,不可拆卸式电池,双核,1GB
1991,TETC-H1,http://detail.zol.com.cn/cell_phone/index399943.shtml,手机,HONPhone H1（双4G）,0,即将上市,,5英寸,暂无数据,暂无数据,暂无数据,3000mAh,暂无数据,四核,2GB
1992,A1006/S,http://detail.zol.com.cn/cell_phone/index368535.shtml,手机,苹果iPhone 6S（全网通）,4690,正常,2015年09月,4.7英寸,1334x750像素,1200万像素,500万像素,1715mAh,不可拆卸式电池,双核,2GB
1993,OPPO R9sk,http://detail.zol.com.cn/cell_phone/index1170998.shtml,手机,OPPO R9sk（全网通）,2599,正常,2016年10月,5.5英寸,1920x1080像素,1600万像素,1600万像素,3010mAh,不可拆卸式电池,八核,4GB
1994,M621C-S,http://detail.zol.com.cn/cell_phone/index1166841.shtml,手机,魅族魅蓝S（全网通）,0,概念产品,,5.5英寸,1920x1080像素,1300万像素,500万像素,3920mAh,暂无数据,八核,2GB/3GB/4GB
1995,ivvi V1M,http://detail.zol.com.cn/cell_phone/index1170573.shtml,手机,ivvi V1M（全网通）,539,正常,,5.5英寸,1280x720像素,800万像素,200万像素,2500mAh,暂无数据,1GB,暂无数据
1996,ZTE A0616,http://detail.zol.com.cn/cell_phone/index1184208.shtml,手机,中兴Blade A3（全网通）,699,正常,,5.5英寸,1280x720像素,1300万像素,500万像素+200万像素,4000mAh,不可拆卸式电池,四核,3GB
1997,COL-L29,http://detail.zol.com.cn/cell_phone/index368535.shtml,手机,苹果iPhone 6S（全网通）,4690,正常,2015年09月,4.7英寸,1334x750像素,1200万像素,500万像素,1715mAh,不可拆卸式电池,双核,2GB
1998,vivo X5Pro V,http://detail.zol.com.cn/cell_phone/index399281.shtml,手机,vivo X5Pro（2GB RAM/双4G）,1900,正常,2015年05月,5.2英寸,1920x1080像素,1300万像素,800万像素,2300mAh,不可拆卸式电池,真八核,2GB
1999,CPH1605,http://detail.zol.com.cn/cell_phone/index1164920.shtml,手机,360 手机N5（全网通）,1158,正常,2017年02月27日,5.5英寸,1920x1080像素,1300万像素,800万像素,4000mAh,不可拆卸式电池,八核,6GB
2000,CAM-AL00,http://detail.zol.com.cn/cell_phone/index1144498.shtml,手机,荣耀畅玩5A（CAM-AL00/全网通）,528,正常,,5.5英寸,1280x720像素,1300万像素,800万像素,3100mAh,不可拆卸式电池,八核,2GB
2001,M3X,http://detail.zol.com.cn/cell_phone/index1259328.shtml,手机,努比亚M3,1999,正常,,5.7英寸,2160x1080像素,2400万像素+500万像素,800万像素,3450mAh,不可拆卸式电池,八核,6GB
2002,SM-N900V,http://detail.zol.com.cn/cell_phone/index337342.shtml,手机,三星GALAXY Note 3（N9006/联通3G）,2850,正常,2013年08月,5.7英寸,1920x1080像素,1300万像素,200万像素,3200mAh,可拆卸式电池,四核,3GB
2003,H60-L01,http://detail.zol.com.cn/cell_phone/index383798.shtml,手机,荣耀6（H60-L01/移动4G）,1850,正常,2014年06月,5英寸,1920x1080像素,1300万像素,500万像素,3100mAh,不可拆卸式电池,真八核,3GB
2004,H60-L02,http://detail.zol.com.cn/cell_phone/index381688.shtml,手机,荣耀6（H60-L12/联通4G）,1850,正常,2014年06月,5英寸,1920x1080像素,1300万像素,500万像素,3100mAh,不可拆卸式电池,真八核,3GB
2005,T02,http://detail.zol.com.cn/cell_phone/index1142909.shtml,手机,长虹T02（移动4G）,349,停产,,5英寸,854x480像素,500万像素,30万像素,1700mAh,可拆卸式电池,四核,1GB
2006,CPH1607,http://detail.zol.com.cn/cell_phone/index1163668.shtml,手机,Microsoft GraalPhone（全网通）,0,即将上市,,5英寸,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,8GB,暂无数据
2007,H60-L03,http://detail.zol.com.cn/cell_phone/index273715.shtml,手机,苹果iPhone 6（全网通）,5250,正常,2014年09月,4.7英寸,1334x750像素,800万像素,120万像素,1810mAh,不可拆卸式电池,双核,1GB
2008,3007,http://detail.zol.com.cn/cell_phone/index392581.shtml,手机,OPPO 3007（移动4G）,1299,停产,,4.7英寸,1280x720像素,800万像素,500万像素,2000mAh,可拆卸式电池,四核,1GB
2009,T03,http://detail.zol.com.cn/cell_phone/index1163668.shtml,手机,Microsoft GraalPhone（全网通）,0,即将上市,,5英寸,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,8GB,暂无数据
2010,NX629J,http://detail.zol.com.cn/cell_phone/index1163668.shtml,手机,Microsoft GraalPhone（全网通）,0,即将上市,,5英寸,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,8GB,暂无数据
2011,kt108,http://detail.zol.com.cn/cell_phone/index511465.shtml,手机,图灵Appassionato（移动4G）,0,概念产品,,5.5英寸,1920x1080像素,1300万像素,800万像素,3000mAh,不可拆卸式电池,四核,3GB
2012,MuMu,http://detail.zol.com.cn/cell_phone/index1163668.shtml,手机,Microsoft GraalPhone（全网通）,0,即将上市,,5英寸,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,8GB,暂无数据
2013,MP1503,http://detail.zol.com.cn/cell_phone/index1144147.shtml,手机,美图M6（标准版/全网通）,1859,停产,,5英寸,1920x1080像素,2100万像素,2100万像素,2900mAh,不可拆卸式电池,八核,3GB
2014,UOOGOU,http://detail.zol.com.cn/cell_phone/index1163668.shtml,手机,Microsoft GraalPhone（全网通）,0,即将上市,,5英寸,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,8GB,暂无数据
2015,m3s,http://detail.zol.com.cn/cell_phone/index1099503.shtml,手机,金立M3s（双4G）,799,停产,,5英寸,1280x720像素,800万像素,500万像素,5000mAh,不可拆卸式电池,四核,1.5GB
2016,HUAWEI G7-TL00,http://detail.zol.com.cn/cell_phone/index1153414.shtml,手机,华为G9 Plus（MLA-TL00/移动4G）,880,停产,,5.5英寸,1920x1080像素,1600万像素,800万像素,3340mAh,不可拆卸式电池,八核,3GB
2017,S55t,http://detail.zol.com.cn/cell_phone/index384593.shtml,手机,索尼Xperia C3（S55T/移动4G）,1099,正常,,5.5英寸,1280x720像素,800万像素,500万像素,2500mAh,不可拆卸式电池,四核,1GB
2018,SM-N915L,http://detail.zol.com.cn/cell_phone/index387948.shtml,手机,三星GALAXY Note Edge（N9150/双4G）,6299,正常,2014年09月,5.6英寸,2560x1440像素,1600万像素,370万像素,3000mAh,可拆卸式电池,四核,3GB
2019,OPPO R9st,http://detail.zol.com.cn/cell_phone/index1156915.shtml,手机,OPPO R9st（移动定制/全网通）,2799,停产,2016年10月,5.5英寸,1920x1080像素,1600万像素,1600万像素,3010mAh,不可拆卸式电池,八核,4GB
2020,Moto G (5S) Plus,http://detail.zol.com.cn/cell_phone/index1171887.shtml,手机,Moto G5S+（全网通）,0,停产,,5.5英寸,1920x1080像素,双1300万像素,800万像素,3000mAh,暂无数据,3GB/4GB,暂无数据
